	sample_id	prompt_source	position_source	prompt_target	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	generations_baseline_hop2	is_correct_baseline_hop2	generations_baseline_hop3	is_correct_baseline_hop3	generations_baseline_multihop3	is_correct_baseline_multihop3	layer_source	layer_target	generations_patched	is_correct_patched	hidden_rep	object_int	predicted_int	predicted	is_correct_probe
4368	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	1	2	['d' 'entity' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'by']	False	[ 0.0655    -0.0005283 -0.03253   ... -0.05057    0.0714    -0.04257  ]	173	173	Sundar Pichai	True
4372	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	19	31	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.4497 -0.2876  0.0279 ... -1.038  -1.915  -0.9277]	173	173	Sundar Pichai	True
4379	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	24	9	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.256  -0.279   1.023  ...  0.458   0.7505 -1.968 ]	181	181	Tim Cook	True
4386	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	2	7	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.0823    0.002136  0.0988   ... -0.0614    0.07324  -0.03384 ]	173	173	Sundar Pichai	True
4391	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	29	19	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.71   -1.151  -0.476  ... -0.9736 -4.598  -1.211 ]	173	173	Sundar Pichai	True
4398	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	29	9	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.71   -1.151  -0.476  ... -0.9736 -4.598  -1.211 ]	173	173	Sundar Pichai	True
4436	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	5	28	['of' 'the' 'United' 'States' '?' '\n' '\n' 'A' '.' 'Jeff']	False	[ 0.1726  -0.1154   0.1432  ... -0.03506 -0.05328  0.2474 ]	181	181	Tim Cook	True
4478	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	5	22	['?' '\n' '\n' 'A' '.' 'Mark' 'Z' 'ucker' 'berg' '\n']	False	[ 0.1138  -0.2062   0.1504  ... -0.00824  0.0094   0.1798 ]	173	173	Sundar Pichai	True
4483	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	2	25	['...' '</s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[ 0.0681   0.02866  0.09247 ... -0.0829   0.08    -0.01528]	181	181	Tim Cook	True
4484	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	21	22	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.658  -0.8945  0.601  ... -1.836  -1.667  -2.959 ]	173	173	Sundar Pichai	True
4521	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	31	0	['Google' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'Google' 'is']	False	[-3.748   0.45   -0.6626 ... -0.664  -0.984  -1.276 ]	173	173	Sundar Pichai	True
4527	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	22	18	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.7427 -0.2327  0.9863 ...  0.666   0.746  -1.772 ]	181	181	Tim Cook	True
4530	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	29	20	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.71   -1.151  -0.476  ... -0.9736 -4.598  -1.211 ]	173	173	Sundar Pichai	True
4572	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	4	18	['?' '\n' '\n' 'A' '.' 'Sund' 'ar' 'P' 'ich' 'ai']	True	[ 0.1118  -0.2438   0.1704  ... -0.02893  0.02753  0.02728]	173	173	Sundar Pichai	True
4589	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	6	2	['the' 'company' '?' '\n' '\n' 'Answer' ':' '\n' '\n' '1']	False	[-0.09937 -0.3372  -0.01624 ... -0.0818  -0.12274  0.2108 ]	173	173	Sundar Pichai	True
4603	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	6	21	['?' '\n' '\n' 'A' '.' 'Mark' 'Z' 'ucker' 'berg' '\n']	False	[-0.09937 -0.3372  -0.01624 ... -0.0818  -0.12274  0.2108 ]	173	173	Sundar Pichai	True
4606	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	23	7	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.918 -1.565 -1.137 ... -3.445 -1.755 -3.863]	173	173	Sundar Pichai	True
4654	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	8	29	['D' 'elivery' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 0.08765 -0.605    0.03906 ... -0.2517  -0.1726   0.02887]	181	181	Tim Cook	True
4660	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	28	24	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.379   0.8037  0.7876 ...  1.221   0.1821 -2.318 ]	181	181	Tim Cook	True
4662	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	14	27	['T' 'ruck' 'ing' '?' '</s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[ 0.4702  -0.4592  -0.02222 ... -0.08466  0.3816  -0.514  ]	173	173	Sundar Pichai	True
4664	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	1	26	['</s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[ 0.0655    -0.0005283 -0.03253   ... -0.05057    0.0714    -0.04257  ]	173	173	Sundar Pichai	True
4690	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	9	7	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.2112  -0.3835   0.13    ... -0.2245  -0.02832  0.2864 ]	173	173	Sundar Pichai	True
4692	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	5	5	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.1138  -0.2062   0.1504  ... -0.00824  0.0094   0.1798 ]	173	173	Sundar Pichai	True
4699	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	4	2	['the' 'company' '?' '\n' '\n' 'Answer' ':' 'The' 'current' 'CE']	False	[ 0.1017  -0.1692   0.128   ... -0.05453 -0.0291   0.0795 ]	181	181	Tim Cook	True
4735	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	19	26	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.4497 -0.2876  0.0279 ... -1.038  -1.915  -0.9277]	173	173	Sundar Pichai	True
4751	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	13	1	['the' 'company' '?' '\n' '\n' 'Answer' ':' '\n' '\n' '1']	False	[ 0.79    -0.0846   0.0365  ...  0.0725   0.2708   0.03284]	181	181	Tim Cook	True
4757	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	25	25	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.572 -2.865 -0.392 ... -3.672 -1.505 -1.484]	173	173	Sundar Pichai	True
4792	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	9	20	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[-4.883e-04 -6.816e-01  1.445e-01 ... -9.436e-02  9.985e-02  2.437e-01]	181	181	Tim Cook	True
4803	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	20	11	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.128    0.02869  0.8154  ...  1.369    0.9434  -1.53   ]	181	181	Tim Cook	True
4820	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	4	19	['back' 'up' '?' '</s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[ 0.1118  -0.2438   0.1704  ... -0.02893  0.02753  0.02728]	173	173	Sundar Pichai	True
4826	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	7	6	['the' 'company' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[-0.0575   -0.5117    0.005005 ... -0.1611   -0.2207    0.0473  ]	173	173	Sundar Pichai	True
4850	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	3	11	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.2095  -0.1975   0.01874 ... -0.0744   0.03168 -0.02338]	173	173	Sundar Pichai	True
4878	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	31	28	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.994   0.2996 -1.602  ...  1.239  -0.2847 -2.01  ]	181	181	Tim Cook	True
4901	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	26	25	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.308   0.1382  0.648  ...  0.2427  0.9253 -1.569 ]	181	181	Tim Cook	True
4904	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	28	19	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.379   0.8037  0.7876 ...  1.221   0.1821 -2.318 ]	181	181	Tim Cook	True
4906	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	22	9	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.7427 -0.2327  0.9863 ...  0.666   0.746  -1.772 ]	181	181	Tim Cook	True
4912	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	9	5	['the' 'company' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[-0.0007935 -0.68       0.1453    ... -0.09503    0.1003     0.2432   ]	181	181	Tim Cook	True
4924	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	2	22	['.' '\n' '\n' 'A' '.' 'Mark' 'Z' 'ucker' 'berg' '\n']	False	[ 0.0823    0.002136  0.0988   ... -0.0614    0.07324  -0.03384 ]	173	173	Sundar Pichai	True
4942	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	14	7	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.4702  -0.4592  -0.02222 ... -0.08466  0.3816  -0.514  ]	173	173	Sundar Pichai	True
4947	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	17	30	['.' 'io' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 1.442   0.79   -0.2118 ...  1.524   0.5713 -0.66  ]	181	181	Tim Cook	True
5008	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	24	14	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.01855 -2.684   -1.278   ... -3.28    -1.211   -2.93   ]	173	173	Sundar Pichai	True
5015	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	20	5	['Apple' '?' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B' '.']	True	[ 1.128    0.02808  0.8184  ...  1.366    0.9414  -1.536  ]	181	181	Tim Cook	True
