	Unnamed: 0	sample_id	prompt_source	prompt_target	position_source	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	layer_source	layer_target	generations_patched	is_correct_patched	hidden_rep
194	61811	2392131	Tesla's CEO	Name of father of {}	-1	-1	Tesla's CEO	Name of father of Elon Musk	Name of father of Tesla's CEO	Tesla	Elon Musk	Errol Musk	26	29	[',' 'son' 'of' '{}' '\n' '\n' 'The' 'name' 'of' 'the']	False	[-3.275  1.379  0.154 ... -1.739  1.559  2.328]
195	14742	2093638	Miso Soup's country of origin	The language used in {}	-1	-1	Miso Soup's country of origin	The language used in Japan	The language used in Miso Soup's country of origin	Miso Soup	Japan	Japanese	27	4	['is' 'not' 'clear' '.' 'It' 'is' 'not' 'clear' 'what' 'is']	False	[ 0.628  2.45  -5.348 ... -1.741  3.318 -2.488]
196	67647	2093776	Paella's country of origin	The capital of {}	-1	-1	Paella's country of origin	The capital of Spain	The capital of Paella's country of origin	Paella	Spain	Madrid	11	6	['is' 'Paris' '.' '\n' 'The' 'currency' 'of' 'France' 'is' 'the']	False	[-0.288   0.0863 -0.311  ... -0.6714 -0.2773  0.4202]
197	35684	2392131	the CEO of Tesla	Name of father of {}	-1	-1	the CEO of Tesla	Name of father of Elon Musk	Name of father of the CEO of Tesla	Tesla	Elon Musk	Errol Musk	12	6	[',' 'the' 'Son' 'of' 'David' ',' 'have' 'mer' 'cy' 'on']	False	[-0.00952 -0.08203  0.122   ... -0.02673  0.3687  -0.8    ]
198	48645	2093659	Pizza's country of origin	The capital of {}	-1	-1	Pizza's country of origin	The capital of Italy	The capital of Pizza's country of origin	Pizza	Italy	Rome	15	2	['is' 'a' 'matter' 'of' 'debate' ',' 'but' 'it' 'is' 'generally']	False	[ 0.2085  0.3252 -1.256  ... -0.669   0.8184  0.3174]
199	48958	2092939	Pizza's country of origin	The language used in {}	-1	-1	Pizza's country of origin	The language used in Italy	The language used in Pizza's country of origin	Pizza	Italy	Italian	8	13	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-0.2092 -0.0917 -0.2625 ... -0.3354 -0.2507  0.3994]
200	29657	2392131	Tesla's CEO	Name of father of {}	-1	-1	Tesla's CEO	Name of father of Elon Musk	Name of father of Tesla's CEO	Tesla	Elon Musk	Errol Musk	16	15	[',' 'son' 'of' '\n' '\n' '1' '.' 'Name' 'of' 'father']	False	[ 0.6807  1.381  -0.4365 ... -0.8125  0.2229  0.5537]
201	40784	2093795	Chimichurri's country of origin	The capital of {}	-1	-1	Chimichurri's country of origin	The capital of Argentina	The capital of Chimichurri's country of origin	Chimichurri	Argentina	Buenos Aires	6	17	['is' 'located' 'in' 'the' 'state' 'of' 'New' 'York' '.' '\n']	False	[-0.1531   0.1505  -0.4985  ... -0.65    -0.10077  0.0881 ]
202	34240	2092977	Tacos's country of origin	The language used in {}	-1	-1	Tacos's country of origin	The language used in Mexico	The language used in Tacos's country of origin	Tacos	Mexico	Spanish	22	31	['unknown' '}' 'is' 'a' 'form' 'of' 'sh' 'orth' 'and' 'for']	False	[-0.578   0.861  -2.1    ... -0.2642 -0.3208 -0.651 ]
203	32628	2092939	Pizza's country of origin	The language used in {}	-1	-1	Pizza's country of origin	The language used in Italy	The language used in Pizza's country of origin	Pizza	Italy	Italian	31	29	['controvers' 'ial' 'ess' 'ay' 'is' 'very' 'strong' 'and' 'emot' 'ive']	False	[-0.96    1.515  -3.174  ... -2.111   2.305   0.1958]
204	50550	5602381	the company that created KC-767	The name of the CEO of {}	-1	-1	the company that created KC-767	The name of the CEO of Boeing	The name of the CEO of the company that created KC-767	KC-767	Boeing	Dennis Muilenburg	9	17	['is' ':' '\n' '```' '\n' 'CE' 'O' 'Name' ':' '\n']	False	[ 0.2932  -0.1606  -0.4214  ...  0.2476   0.3418  -0.01001]
205	926	2092342	Paella's country of origin	The largest city in {}	-1	-1	Paella's country of origin	The largest city in Spain	The largest city in Paella's country of origin	Paella	Spain	Madrid	5	3	['of' 'the' 'person' 'who' 'has' 'the' 'most' 'posts' 'on' 'this']	False	[-0.35     0.0429  -0.332   ... -0.4062  -0.1575   0.10974]
206	71552	2093638	Miso Soup's country of origin	The language used in {}	-1	-1	Miso Soup's country of origin	The language used in Japan	The language used in Miso Soup's country of origin	Miso Soup	Japan	Japanese	25	9	['is' 'not' 'clear' 'and' 'conc' 'ise' '.' 'It' 'is' 'important']	False	[ 0.4895  2.75   -4.547  ... -1.31    3.246  -2.115 ]
207	72061	2093697	Tacos's country of origin	The capital of {}	-1	-1	Tacos's country of origin	The capital of Mexico	The capital of Tacos's country of origin	Tacos	Mexico	Mexico City	7	27	['.' '\n' '\n' 'The' 'capital' 'of' '{}' 'is' 'located' 'in']	False	[-0.1744 -0.1145 -0.5444 ... -0.717  -0.1244  0.2961]
208	63836	2392131	the CEO of Tesla	Name of father of {}	-1	-1	the CEO of Tesla	Name of father of Elon Musk	Name of father of the CEO of Tesla	Tesla	Elon Musk	Errol Musk	15	4	[',' 'the' 'father' 'of' 'the' 'b' 'ride' '.' '\n' '\n']	False	[-0.1946  0.4702 -0.018  ... -0.64    0.6816 -0.3135]
209	59853	2092367	Chimichurri's country of origin	The largest city in {}	-1	-1	Chimichurri's country of origin	The largest city in Argentina	The largest city in Chimichurri's country of origin	Chimichurri	Argentina	Buenos Aires	28	29	['is' '{}' '\n' '\n' 'The' 'largest' 'city' 'in' '{}' 'is']	False	[-1.635  2.191 -6.33  ... -3.244  2.719 -3.576]
210	38474	2093056	Paella's country of origin	The language used in {}	-1	-1	Paella's country of origin	The language used in Spain	The language used in Paella's country of origin	Paella	Spain	Spanish	22	21	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-0.9434  2.713  -3.654  ... -1.502   2.922  -1.634 ]
211	33883	2093776	Paella's country of origin	The capital of {}	-1	-1	Paella's country of origin	The capital of Spain	The capital of Paella's country of origin	Paella	Spain	Madrid	17	7	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[-0.1641  1.14   -1.357  ... -1.076   0.974  -0.128 ]
212	55656	5602381	the company that created KC-767	The name of the CEO of {}	-1	-1	the company that created KC-767	The name of the CEO of Boeing	The name of the CEO of the company that created KC-767	KC-767	Boeing	Dennis Muilenburg	29	15	['J' 'et' 'Blue' 'Air' 'ways' 'is' 'Robin' 'Hay' 'es' '.']	False	[ 2.857   0.6753 -6.59   ...  2.477   1.61    2.135 ]
213	53432	2093744	Poutine's country of origin	The capital of {}	-1	-1	Poutine's country of origin	The capital of Canada	The capital of Poutine's country of origin	Poutine	Canada	Ottawa	16	21	['is' 'located' 'in' 'the' 'state' 'of' 'New' 'York' '.' '\n']	False	[-0.0393   0.7188  -1.337   ... -1.208    0.3164   0.04926]
214	26147	2093075	Chimichurri's country of origin	The language used in {}	-1	-1	Chimichurri's country of origin	The language used in Argentina	The language used in Chimichurri's country of origin	Chimichurri	Argentina	Spanish	0	21	['and' '{}' 'is' 'not' 'the' 'same' '.' '\n' '\n' 'In']	False	[-0.03284   0.001205 -0.08014  ...  0.01172  -0.005287  0.00798 ]
215	64007	2093509	Ceviche's country of origin	The language used in {}	-1	-1	Ceviche's country of origin	The language used in Peru	The language used in Ceviche's country of origin	Ceviche	Peru	Spanish	25	19	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-0.5977  2.324  -5.57   ... -2.092   2.361  -3.18  ]
216	12338	2092561	Pierogi's country of origin	The largest city in {}	-1	-1	Pierogi's country of origin	The largest city in Poland	The largest city in Pierogi's country of origin	Pierogi	Poland	Warsaw	8	29	['C' 'zech' 'Republic' 'is' '{}' 'P' 'rag' 'ue' '.' '\n']	False	[-0.3943 -0.1602 -0.6953 ... -0.655  -0.2009  0.103 ]
217	22513	2093075	Chimichurri's country of origin	The language used in {}	-1	-1	Chimichurri's country of origin	The language used in Argentina	The language used in Chimichurri's country of origin	Chimichurri	Argentina	Spanish	19	5	['is' 'not' 'clear' '.' 'It' 'is' 'not' 'clear' 'what' 'is']	False	[ 0.003113  1.503    -2.71     ... -1.077     1.951    -1.186   ]
218	70988	2092561	Pierogi's country of origin	The largest city in {}	-1	-1	Pierogi's country of origin	The largest city in Poland	The largest city in Pierogi's country of origin	Pierogi	Poland	Warsaw	25	18	['is' 'located' 'in' 'the' 'country' 'of' '_' '____' '__' '_.']	False	[-0.473  3.604 -4.953 ... -1.319  1.474 -2.84 ]
219	23914	5596123	the company that created B-17 Flying Fortress	The name of the CEO of {}	-1	-1	the company that created B-17 Flying Fortress	The name of the CEO of Boeing	The name of the CEO of the company that created B-17 Flying Fortress	B-17 Flying Fortress	Boeing	Dennis Muilenburg	29	25	[',' 'the' 'company' 'that' 'makes' 'the' 'app' ',' 'is' 'not']	False	[ 0.771   -6.31    -3.39    ...  4.27    -0.05957  1.273  ]
220	4402	2094358	Miso Soup's country of origin	The capital of {}	-1	-1	Miso Soup's country of origin	The capital of Japan	The capital of Miso Soup's country of origin	Miso Soup	Japan	Tokyo	29	17	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[ 0.832  3.578 -5.32  ... -3.121  2.639 -1.137]
221	58553	5596123	the company that developed B-17 Flying Fortress	The name of the CEO of {}	-1	-1	the company that developed B-17 Flying Fortress	The name of the CEO of Boeing	The name of the CEO of the company that developed B-17 Flying Fortress	B-17 Flying Fortress	Boeing	Dennis Muilenburg	15	13	['is' 'not' 'available' '.' '\n' '\n' 'The' 'company' 'was' 'founded']	False	[-0.5303   -0.1475   -0.35     ...  0.216     0.009094 -0.695   ]
222	40531	2092310	Poutine's country of origin	The largest city in {}	-1	-1	Poutine's country of origin	The largest city in Canada	The largest city in Poutine's country of origin	Poutine	Canada	Toronto	4	26	['.' '\n' '\n' 'The' 'largest' 'city' 'in' '{}' 'is' '{}']	False	[-0.2416   0.07245 -0.4165  ... -0.2025  -0.2086   0.077  ]
223	48191	2094096	Masala Dosa's country of origin	The capital of {}	-1	-1	Masala Dosa's country of origin	The capital of India	The capital of Masala Dosa's country of origin	Masala Dosa	India	New Delhi	27	10	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'the']	False	[-0.0503  2.482  -6.54   ... -1.769   1.706  -1.236 ]
224	50682	2595286	SpaceX's CEO	Name of father of {}	-1	-1	SpaceX's CEO	Name of father of Elon Musk	Name of father of SpaceX's CEO	SpaceX	Elon Musk	Errol Musk	10	20	[',' 'son' 'of' '\n' '\n' '1' '.' 'Name' 'of' 'father']	False	[ 0.2035   0.199   -0.1904  ... -0.2554   0.05054  0.04712]
225	28362	2093744	Poutine's country of origin	The capital of {}	-1	-1	Poutine's country of origin	The capital of Canada	The capital of Poutine's country of origin	Poutine	Canada	Ottawa	13	7	['is' 'Paris' '.' '\n' 'The' 'currency' 'of' 'France' 'is' 'the']	False	[-0.2556  -0.047   -0.626   ... -0.3013  -0.00893  0.4658 ]
226	75	2094096	Masala Dosa's country of origin	The capital of {}	-1	-1	Masala Dosa's country of origin	The capital of India	The capital of Masala Dosa's country of origin	Masala Dosa	India	New Delhi	10	31	['hagen' 'is' 'located' 'in' 'the' 'state' 'of' '{}' 'and' 'is']	False	[-0.1741  -0.3206  -0.4832  ... -0.7866  -0.7793   0.00659]
227	68314	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	6	21	[',' 'with' 'a' 'population' 'of' 'over' '' '1' '0' '0']	False	[-0.0946  0.23   -0.308  ... -0.5933 -0.178   0.274 ]
228	60010	2093744	Poutine's country of origin	The capital of {}	-1	-1	Poutine's country of origin	The capital of Canada	The capital of Poutine's country of origin	Poutine	Canada	Ottawa	15	23	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' '{}']	False	[ 0.3286    0.06213  -1.378    ... -0.843     0.5234    0.006943]
229	41767	5627711	the company that developed B-29 Superfortress	The name of the CEO of {}	-1	-1	the company that developed B-29 Superfortress	The name of the CEO of Boeing	The name of the CEO of the company that developed B-29 Superfortress	B-29 Superfortress	Boeing	Dennis Muilenburg	26	18	['bom' 'ber' 'jack' 'et' 'is' '?' '</s>' '<s>' '<s>' '<s>']	False	[ 0.524 -3.455 -2.895 ...  1.976  1.145  1.137]
230	36170	2092939	Pizza's country of origin	The language used in {}	-1	-1	Pizza's country of origin	The language used in Italy	The language used in Pizza's country of origin	Pizza	Italy	Italian	19	3	['is' 'not' 'important' ',' 'but' 'the' 'message' 'is' '.' '\n']	False	[-0.4927  3.092  -2.205  ...  0.176   2.676  -0.8716]
231	41266	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	11	26	['is' 'located' 'in' 'the' 'country' 'of' '{}' '\n' '\n' 'The']	False	[-0.02124  0.1372  -0.3835  ... -0.4023  -0.02734  0.3818 ]
232	55493	2093024	Poutine's country of origin	The language used in {}	-1	-1	Poutine's country of origin	The language used in Canada	The language used in Poutine's country of origin	Poutine	Canada	English	20	3	['is' 'not' 'clear' '.' 'It' 'is' 'not' 'clear' 'what' 'is']	False	[-0.4192   1.689   -3.674   ...  0.00537  2.467   -1.917  ]
233	49748	2093638	Miso Soup's country of origin	The language used in {}	-1	-1	Miso Soup's country of origin	The language used in Japan	The language used in Miso Soup's country of origin	Miso Soup	Japan	Japanese	26	25	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[ 0.8857  2.807  -5.242  ... -1.671   3.389  -2.275 ]
234	57150	2093056	Paella's country of origin	The language used in {}	-1	-1	Paella's country of origin	The language used in Spain	The language used in Paella's country of origin	Paella	Spain	Spanish	30	14	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-3.516  2.15  -4.62  ... -5.15   3.912 -1.627]
235	11664	2093744	Poutine's country of origin	The capital of {}	-1	-1	Poutine's country of origin	The capital of Canada	The capital of Poutine's country of origin	Poutine	Canada	Ottawa	7	2	['of' 'the' 'first' 'country' 'is' 'Paris' '.' '\n' 'The' 'capital']	False	[-0.2542  -0.1964  -0.512   ... -0.6836  -0.05194  0.323  ]
236	26296	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	24	8	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'the']	False	[-0.881  2.086 -5.37  ... -2.188  2.63  -2.482]
237	16098	5627711	the company that created B-29 Superfortress	The name of the CEO of {}	-1	-1	the company that created B-29 Superfortress	The name of the CEO of Boeing	The name of the CEO of the company that created B-29 Superfortress	B-29 Superfortress	Boeing	Dennis Muilenburg	13	0	['A' 'lib' 'aba' 'Group' 'is' 'Jack' 'Ma' '.' '\n' '\n']	False	[-0.2817 -1.018   0.5703 ...  0.4312  0.3003 -0.5093]
238	59090	2093744	Poutine's country of origin	The capital of {}	-1	-1	Poutine's country of origin	The capital of Canada	The capital of Poutine's country of origin	Poutine	Canada	Ottawa	4	27	['—' '—' '—' '—' '—' '—' '—' '—' '—' '—']	False	[-0.2416   0.07245 -0.4165  ... -0.2025  -0.2086   0.077  ]
239	16051	5602381	the company that developed KC-767	The name of the CEO of {}	-1	-1	the company that developed KC-767	The name of the CEO of Boeing	The name of the CEO of the company that developed KC-767	KC-767	Boeing	Dennis Muilenburg	19	19	[',' 'the' 'company' 'that' 'makes' 'the' 'K' 'est' 'rel' '']	False	[ 0.02267  0.0824  -1.676   ...  0.81    -0.6504   0.06824]
240	47591	2093776	Paella's country of origin	The capital of {}	-1	-1	Paella's country of origin	The capital of Spain	The capital of Paella's country of origin	Paella	Spain	Madrid	23	3	['is' 'a' 'city' 'in' 'the' 'country' 'of' '.' 'It' 'is']	False	[-0.9287  2.195  -4.438  ... -2.129   3.111  -2.588 ]
241	42672	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	28	5	['is' 'the' 'city' 'of' 'T' 'bil' 'isi' '.' '\n' 'The']	False	[-1.583  1.891 -6.293 ... -2.732  1.939 -3.404]
242	6064	4490831	George W. Bush's father	Name of father of {}	-1	-1	George W. Bush's father	Name of father of George H. W. Bush	Name of father of George W. Bush's father	George W. Bush	George H. W. Bush	Prescott Bush	26	1	[',' 'George' 'H' '.' 'W' '.' 'Bush' ',' 'George' 'W']	False	[-2.826   1.985  -6.188  ... -0.4546 -2.291   6.062 ]
243	14711	3087664	Nancy Sinatra's father	Name of mother of {}	-1	-1	Nancy Sinatra's father	Name of mother of Frank Sinatra	Name of mother of Nancy Sinatra's father	Nancy Sinatra	Frank Sinatra	Dolly Sinatra	24	24	['Frank' '\n' '\n' '1' '.' 'Name' 'of' 'mother' 'of' '{}']	False	[-3.488   1.755  -4.59   ...  4.61   -3.31   -0.1133]
244	14478	2392131	the CEO of Tesla	Name of father of {}	-1	-1	the CEO of Tesla	Name of father of Elon Musk	Name of father of the CEO of Tesla	Tesla	Elon Musk	Errol Musk	9	0	['’' 's' 'mother' ':' '\n' 'El' 'on' 'Mus' 'k' '’']	False	[ 0.3066 -0.4326 -0.1528 ... -0.1821  0.2471 -0.8623]
245	22688	2092561	Pierogi's country of origin	The largest city in {}	-1	-1	Pierogi's country of origin	The largest city in Poland	The largest city in Pierogi's country of origin	Pierogi	Poland	Warsaw	8	22	[',' 'with' 'a' 'population' 'of' 'over' '' '1' '0' '0']	False	[-0.3943 -0.1602 -0.6953 ... -0.655  -0.2009  0.103 ]
246	48446	2092404	Feijoada's country of origin	The largest city in {}	-1	-1	Feijoada's country of origin	The largest city in Brazil	The largest city in Feijoada's country of origin	Feijoada	Brazil	São Paulo	25	4	['is' 'New' 'York' 'City' ',' 'which' 'is' 'located' 'in' 'the']	False	[-1.426  2.4   -5.496 ... -1.847  2.115 -3.027]
247	8172	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	25	8	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'the']	False	[-0.5977  2.324  -5.57   ... -2.092   2.361  -3.18  ]
248	13896	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	18	8	['is' 'New' 'York' 'City' '.' '\n' 'The' 'capital' 'of' 'France']	False	[-0.3726  1.677  -1.75   ... -0.956   0.76   -0.3596]
249	21764	2092342	Paella's country of origin	The largest city in {}	-1	-1	Paella's country of origin	The largest city in Spain	The largest city in Paella's country of origin	Paella	Spain	Madrid	1	16	['is' 'located' 'in' 'the' 'country' 'of' '.' '\n' 'The' 'largest']	False	[-0.03827  -0.00599  -0.079    ... -0.04108  -0.03412  -0.015015]
250	15358	5596123	the company that created B-17 Flying Fortress	The name of the CEO of {}	-1	-1	the company that created B-17 Flying Fortress	The name of the CEO of Boeing	The name of the CEO of the company that created B-17 Flying Fortress	B-17 Flying Fortress	Boeing	Dennis Muilenburg	20	28	[',' 'the' 'company' 'that' 'makes' 'the' '{}' 'smart' 'phone' ',']	False	[-0.611   -0.5825  -0.9546  ...  0.668    0.651   -0.03613]
251	58511	5627711	the company that developed B-29 Superfortress	The name of the CEO of {}	-1	-1	the company that developed B-29 Superfortress	The name of the CEO of Boeing	The name of the CEO of the company that developed B-29 Superfortress	B-29 Superfortress	Boeing	Dennis Muilenburg	6	20	['and' 'the' 'name' 'of' 'the' 'CE' 'O' 'of' 'the' 'company']	False	[-0.2175 -0.0851  0.1597 ...  0.2637 -0.1462 -0.1105]
252	64476	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	8	2	['of' 'the' 'United' 'States' 'is' 'Washington' ',' 'D' '.' 'C']	False	[-0.2449 -0.044  -0.669  ... -0.745  -0.1968  0.275 ]
253	47594	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	31	14	['is' 'Islam' 'abad' '.' '\n' 'The' 'capital' 'of' 'Pakistan' 'is']	False	[ 0.1364  1.114  -3.207  ... -1.52    1.125   0.1217]
254	2113	5602381	the company that developed KC-767	The name of the CEO of {}	-1	-1	the company that developed KC-767	The name of the CEO of Boeing	The name of the CEO of the company that developed KC-767	KC-767	Boeing	Dennis Muilenburg	10	12	['is' '[' 'Name' '].' '\n' '\n' 'The' 'name' 'of' 'the']	False	[ 0.2347  0.0962 -0.3257 ...  0.714   0.198   0.289 ]
255	63900	2092342	Paella's country of origin	The largest city in {}	-1	-1	Paella's country of origin	The largest city in Spain	The largest city in Paella's country of origin	Paella	Spain	Madrid	23	2	['is' 'a' 'matter' 'of' 'debate' ',' 'as' 'there' 'are' 'several']	False	[-0.9287  2.195  -4.438  ... -2.129   3.111  -2.588 ]
256	35482	2092977	Tacos's country of origin	The language used in {}	-1	-1	Tacos's country of origin	The language used in Mexico	The language used in Tacos's country of origin	Tacos	Mexico	Spanish	9	3	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-0.2622   0.03125 -0.4883  ... -0.832   -0.332    0.294  ]
257	14206	4490831	George W. Bush's father	Name of father of {}	-1	-1	George W. Bush's father	Name of father of George H. W. Bush	Name of father of George W. Bush's father	George W. Bush	George H. W. Bush	Prescott Bush	26	21	[',' 'son' 'of' '\n' '\n' '1' '.' 'Name' 'of' 'father']	False	[-2.826   1.985  -6.188  ... -0.4546 -2.291   6.062 ]
258	58400	2093744	Poutine's country of origin	The capital of {}	-1	-1	Poutine's country of origin	The capital of Canada	The capital of Poutine's country of origin	Poutine	Canada	Ottawa	21	16	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[-1.085   2.723  -4.414  ... -0.1829  3.123  -2.283 ]
259	72604	2092977	Tacos's country of origin	The language used in {}	-1	-1	Tacos's country of origin	The language used in Mexico	The language used in Tacos's country of origin	Tacos	Mexico	Spanish	25	0	['is' 'a' 'mix' 'of' 'English' 'and' 'Arab' 'ic' ',' 'with']	False	[ 0.671   0.981  -3.346  ...  0.2676  0.668  -1.416 ]
260	71579	2092218	Pizza's country of origin	The largest city in {}	-1	-1	Pizza's country of origin	The largest city in Italy	The largest city in Pizza's country of origin	Pizza	Italy	Rome	26	11	['is' 'not' 'known' '.' '\n' '\n' 'The' 'largest' 'city' 'in']	False	[-1.775  2.076 -5.86  ... -2.055  4.426 -2.795]
261	63628	2092561	Pierogi's country of origin	The largest city in {}	-1	-1	Pierogi's country of origin	The largest city in Poland	The largest city in Pierogi's country of origin	Pierogi	Poland	Warsaw	8	5	['of' 'the' 'world' 'is' 'Tokyo' ',' 'Japan' '.' '\n' '\n']	False	[-0.3943 -0.1602 -0.6953 ... -0.655  -0.2009  0.103 ]
262	31006	2092064	Biryani's country of origin	The official currency of {}	-1	-1	Biryani's country of origin	The official currency of India	The official currency of Biryani's country of origin	Biryani	India	Rupee	4	23	['.' '\n' '\n' 'The' 'official' 'currency' 'of' '{}' 'is' 'the']	False	[-0.3374    -0.0009155 -0.4912    ... -0.2327    -0.2554     0.0883   ]
263	45252	2392131	the CEO of Tesla	Name of father of {}	-1	-1	the CEO of Tesla	Name of father of Elon Musk	Name of father of the CEO of Tesla	Tesla	Elon Musk	Errol Musk	26	1	[',' '' '1' '0' '.' '1' '\n' '\n' '1' '.']	False	[-2.73    0.6997 -2.758  ... -3.195   0.722   0.1509]
264	59922	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	27	6	['is' 'the' 'city' 'of' 'T' 'bil' 'isi' '.' '\n' 'The']	False	[-0.9043  1.615  -6.074  ... -2.535   2.668  -3.502 ]
265	33261	2092218	Pizza's country of origin	The largest city in {}	-1	-1	Pizza's country of origin	The largest city in Italy	The largest city in Pizza's country of origin	Pizza	Italy	Rome	16	0	['is' 'not' 'the' 'United' 'States' ',' 'but' 'rather' ',' 'it']	False	[ 0.1057  1.25   -1.605  ... -0.873   0.7295  0.278 ]
266	24745	5602381	the company that developed KC-767	The name of the CEO of {}	-1	-1	the company that developed KC-767	The name of the CEO of Boeing	The name of the CEO of the company that developed KC-767	KC-767	Boeing	Dennis Muilenburg	8	14	['is' '[' 'Name' '].' '\n' '\n' 'The' 'name' 'of' 'the']	False	[ 0.3113  -0.01971 -0.1588  ...  0.538    0.2466   0.1941 ]
267	7231	2092455	Fish and Chips's country of origin	The largest city in {}	-1	-1	Fish and Chips's country of origin	The largest city in United Kingdom	The largest city in Fish and Chips's country of origin	Fish and Chips	United Kingdom	London	21	9	['is' 'not' 'the' 'capital' 'of' 'the' 'country' '.' '\n' '\n']	False	[-0.2122  0.782  -2.012  ...  0.4895  0.7075 -1.208 ]
268	42693	2092310	Poutine's country of origin	The largest city in {}	-1	-1	Poutine's country of origin	The largest city in Canada	The largest city in Poutine's country of origin	Poutine	Canada	Toronto	14	2	['is' 'not' 'the' 'capital' ',' 'but' 'rather' 'the' 'city' 'of']	False	[ 0.07007  0.2056  -1.104   ... -1.059    0.5845   0.03217]
269	44628	2092404	Feijoada's country of origin	The largest city in {}	-1	-1	Feijoada's country of origin	The largest city in Brazil	The largest city in Feijoada's country of origin	Feijoada	Brazil	São Paulo	3	30	['▲' ',' 'it' 'is' 'located' 'on' 'the' 'coast' 'of' 'the']	False	[-0.06976  -0.01822  -0.3325   ... -0.1467   -0.1538    0.002579]
270	8670	2093638	Miso Soup's country of origin	The language used in {}	-1	-1	Miso Soup's country of origin	The language used in Japan	The language used in Miso Soup's country of origin	Miso Soup	Japan	Japanese	2	26	['(' 'or' 'any' 'other' 'language' ')' 'is' 'not' 'the' 'same']	False	[-0.02203  -0.007477 -0.1763   ... -0.0823   -0.03912  -0.003824]
271	23740	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	10	10	['of' 'the' 'same' 'name' 'is' 'located' 'in' 'the' 'state' 'of']	False	[-0.2327 -0.0443 -0.2803 ... -0.768  -0.4048  0.2695]
272	23630	2094358	Miso Soup's country of origin	The capital of {}	-1	-1	Miso Soup's country of origin	The capital of Japan	The capital of Miso Soup's country of origin	Miso Soup	Japan	Tokyo	1	24	['.' '\n' '\n' 'The' 'capital' 'of' '{}' 'is' 'located' 'in']	False	[-0.03714   0.000969 -0.0742   ... -0.03763  -0.02913  -0.008224]
273	55240	5596123	the company that created B-17 Flying Fortress	The name of the CEO of {}	-1	-1	the company that created B-17 Flying Fortress	The name of the CEO of Boeing	The name of the CEO of the company that created B-17 Flying Fortress	B-17 Flying Fortress	Boeing	Dennis Muilenburg	2	23	['is' '{}' '\n' '\n' 'The' 'name' 'of' 'the' 'C' 'TO']	False	[ 0.1716   0.00232  0.1361  ... -0.1434  -0.02737 -0.1069 ]
274	27864	2392131	the CEO of Tesla	Name of father of {}	-1	-1	the CEO of Tesla	Name of father of Elon Musk	Name of father of the CEO of Tesla	Tesla	Elon Musk	Errol Musk	18	9	[',' 'who' 'was' 'born' 'in' '' '1' '8' '6' '0']	False	[-0.925   0.3208 -0.4875 ... -1.155   0.8403 -0.334 ]
